0,1,2,3,4,5
(0.3016721673923544+0j),(0.7613589044086635+0j),(-10.189717589449883+0j),(0.03953001349100482-0.11586828096892321j),(0.032556451514871965-0.0111711555978391j),(-0.02316777388303759-0.149611169227704j)
(0.2873054230614565+0j),(0.7852969024222344+0j),(-10.189717589449883+0j),(0.014431966780911076+0.09050116004917697j),(-0.18296868652745962-0.13519258867144524j),(-0.3331865371622653+0.31498230962645124j)
(0.2968767132767476+0j),(0.7852969024222344+0j),(-10.184931524217129+0j),(-0.01009481610774779-0.06068746234295455j),(0.19694589856185885-0.004891752603806254j),(-0.09609331546563027+0.2651707470931681j)
(0.3016721673923544+0j),(0.7661445312499999+0j),(-10.165779079979657+0j),(-0.04457151605742682-0.08200653657862847j),(0.007072459421841093-0.05497400908932637j),(0.1505077841668374-0.11750157696923402j)
(0.2920910681691021+0j),(0.742206533236429+0j),(-10.15141270097494+0j),(0.19088171720058847-0.16750334238909845j),(0.055845608290665205+0.05075868230618552j),(-0.18900719021639212+0.11889405433284228j)
(0.3160388934569433+0j),(0.7900825292635708+0j),(-10.1753605627954+0j),(-0.0199811973991125-0.10653279118804557j),(-0.07365562854292385-0.0006294365055659612j),(0.03668908947753202-0.294461655455871j)
(0.3208245568308979+0j),(0.7661445312499999+0j),(-10.218450347459315+0j),(0.04914480103656471+0.029052836212517225j),(-0.10755499865137497+0.09175194184776259j),(-0.0710489252307056+0.0884070499026901j)
(0.28251977795381095+0j),(0.7709301580913365+0j),(-10.141841739553213+0j),(0.20654797632084282+0.00533898389463594j),(0.099119832252482-0.2799526653150955j),(0.03333910285883768+0.049167600443762005j)
(0.2968767132767476+0j),(0.7757256487395614+0j),(-10.146626635742187+0j),(-0.2062881956535155+0.013871724083242692j),(-0.053521147590854135-0.010318491584463463j),(0.022750008742475458+0.023714255288802555j)
(0.26815303362291304+0j),(0.7613589044086635+0j),(-10.194513007032871+0j),(-0.02876096418992241+0.08976296449296683j),(-0.15441738710576214-0.12871566246734495j),(-0.009828171038424927+0.012183559438671665j)
(0.3208245568308979+0j),(0.7661445312499999+0j),(-10.160994183790683+0j),(-0.17080677937047772-0.044637466064173584j),(0.1291369550191157-0.10137534122307379j),(-0.1148374913048027+0.08587465460594501j)
(0.3064578125+0j),(0.7613589044086635+0j),(-10.1753605627954+0j),(0.031968781980421856-0.16973256642269735j),(-0.14506128922542638+0.12551812762152414j),(-0.08093455137922057-0.214736140915897j)
(0.2968767132767476+0j),(0.7565634137604386+0j),(-10.137046321970224+0j),(-0.16617476084653762-0.11969099066024312j),(-0.28063016399271346-0.19532676098673904j),(0.2144533442877119-0.27507632211056077j)
(0.31124347587395457+0j),(0.7852969024222344+0j),(-10.165779079979657+0j),(-0.029862119770807882+0.057603991967144885j),(-0.021999497491793085+0.005607095435557596j),(-0.14778483432099065+0.06112168480306135j)
(0.3064578125+0j),(0.742206533236429+0j),(-10.204083968454599+0j),(-0.05806663207997281+0.06059407387056863j),(-0.16972422641791995-0.04898532821201959j),(0.09642698008839723+0.30051989767088627j)
(0.3016721673923544+0j),(0.7805112755808978+0j),(-10.180146628028155+0j),(-0.23583646398967192+0.059058007501959164j),(0.12061105734245725-0.23810073493412107j),(-0.05318332523628122-0.011919504612660226j)
(0.3016721673923544+0j),(0.7757256487395614+0j),(-10.141841739553213+0j),(-0.13886225325064733+2.0960283089012173e-14j),(-0.18674794868789568+4.2061660325967414e-14j),(0.21069676035642537-6.062226834618769e-13j)
